,url,datetime,headline
177332,https://www.straitstimes.com/opinion/leveraging-big-data-for-the-public-good,2022-10-21T05:00:59+08:00,Leveraging Big Data For The Public Good
177331,https://www.straitstimes.com/opinion/forum/forum-excerpts-86,2022-10-21T05:01:00+08:00,Forum Excerpts 86
177333,https://www.straitstimes.com/opinion/forum/forum-15-month-wait-out-scheme-prioritises-public-housing-for-those-with-genuine-needs,2022-10-21T05:01:09+08:00,Forum 15 Month Wait Out Scheme Prioritises Public Housing For Those With Genuine Needs
177334,https://www.straitstimes.com/world/united-states/biden-worried-about-ukraine-aid-if-republicans-win-congress,2022-10-21T05:16:11+08:00,Biden Worried About Ukraine Aid If Republicans Win Congress
177336,https://www.straitstimes.com/business/companies-markets/us-stocks-fall-again-on-interest-rate-angst,2022-10-21T05:42:26+08:00,Us Stocks Fall Again On Interest Rate Angst
177338,https://www.straitstimes.com/sport/football/football-leicester-off-the-bottom-with-2-0-home-win-over-leeds,2022-10-21T06:15:19+08:00,Football Leicester Off The Bottom With 2 0 Home Win Over Leeds
177326,https://www.straitstimes.com/opinion/just-what-does-biden-mean-by-most-decisive-decade,2022-10-21T07:14:08+08:00,Just What Does Biden Mean By Most Decisive Decade
177282,https://www.straitstimes.com/world/europe/liz-truss-resigns-as-british-pm-who-are-in-the-race-to-replace-her,2022-10-21T07:16:25+08:00,Liz Truss Resigns As British Pm Who Are In The Race To Replace Her
176153,https://www.straitstimes.com/world/rolex-perpetual-planet-awards-for-enterprise-laureate-shaqat-hussain-pakistan-snow-leopard-eco-warrior-sustainability-environment,2022-10-21T07:32:44+08:00,Rolex Perpetual Planet Awards For Enterprise Laureate Shaqat Hussain Pakistan Snow Leopard Eco Warrior Sustainability Environment
177311,https://www.straitstimes.com/world/europe/iranian-trainers-on-the-ground-helped-russia-with-ukraine-drone-attacks-us-says,2022-10-21T08:35:12+08:00,Iranian Trainers On The Ground Helped Russia With Ukraine Drone Attacks Us Says
177290,https://www.straitstimes.com/asia/south-asia/uphill-task-for-india-s-congress-party-to-take-on-modi-despite-electing-new-leader-kharge,2022-10-21T09:55:45+08:00,Uphill Task For India S Congress Party To Take On Modi Despite Electing New Leader Kharge
177287,https://www.straitstimes.com/world/europe/british-prime-minister-liz-truss-resigns-after-just-45-days-in-job,2022-10-21T12:44:44+08:00,British Prime Minister Liz Truss Resigns After Just 45 Days In Job
177322,https://www.straitstimes.com/asia/xi-may-bend-retirement-age-rule-for-military-top-brass,2022-10-21T12:47:28+08:00,Xi May Bend Retirement Age Rule For Military Top Brass
177280,https://www.straitstimes.com/asia/south-asia/modi-linked-hindu-group-stirs-muslim-tensions-ahead-of-elections,2022-10-21T12:49:09+08:00,Modi Linked Hindu Group Stirs Muslim Tensions Ahead Of Elections
177293,https://www.straitstimes.com/asia/covering-china-s-party-congress-in-a-time-of-covid-19,2022-10-21T12:50:13+08:00,Covering China S Party Congress In A Time Of Covid 19
177276,https://www.straitstimes.com/world/singapore-s-vena-energy-unveils-2-gigawatt-offshore-wind-project-in-australia,2022-10-21T12:54:36+08:00,Singapore S Vena Energy Unveils 2 Gigawatt Offshore Wind Project In Australia
177283,https://www.straitstimes.com/singapore/health/health-ministry-continues-push-to-make-singapore-dementia-friendly,2022-10-21T13:00:24+08:00,Health Ministry Continues Push To Make Singapore Dementia Friendly
177278,https://www.straitstimes.com/singapore/politics/wait-out-period-waived-for-220-private-home-owners-to-buy-hdb-resale-flats-desmond-lee,2022-10-21T13:05:06+08:00,Wait Out Period Waived For 220 Private Home Owners To Buy Hdb Resale Flats Desmond Lee
177265,https://www.straitstimes.com/singapore/politics/1-in-3-home-owners-with-outstanding-mortgages-affected-by-rising-interest-rates-alvin-tan,2022-10-21T13:11:48+08:00,1 In 3 Home Owners With Outstanding Mortgages Affected By Rising Interest Rates Alvin Tan
177268,https://www.straitstimes.com/business/new-bnpl-code-of-conduct-customers-cannot-have-more-than-2k-in-outstanding-payments,2022-10-21T13:12:32+08:00,New Bnpl Code Of Conduct Customers Cannot Have More Than 2k In Outstanding Payments
177327,https://www.straitstimes.com/world/liz-truss-resigns-swift-exit-of-pm-who-moved-britain-too-far-too-fast-solves-nothing-for-nation,2022-10-21T14:21:07+08:00,Liz Truss Resigns Swift Exit Of Pm Who Moved Britain Too Far Too Fast Solves Nothing For Nation
177315,https://www.straitstimes.com/world/europe/shortest-serving-pm-in-uk-history-leaves-scars-on-economy,2022-10-21T15:26:18+08:00,Shortest Serving Pm In Uk History Leaves Scars On Economy
177294,https://www.straitstimes.com/business/what-you-need-to-know-about-the-bnpl-code-of-conduct,2022-10-21T16:32:08+08:00,What You Need To Know About The Bnpl Code Of Conduct
177314,https://www.straitstimes.com/sport/football/football-ronaldo-axed-from-man-united-squad-to-face-chelsea-after-spurs-tantrum,2022-10-21T16:55:00+08:00,Football Ronaldo Axed From Man United Squad To Face Chelsea After Spurs Tantrum
177328,https://www.straitstimes.com/opinion/rebalancing-rewards-between-head-work-and-heart-and-hands-work,2022-10-21T17:20:06+08:00,Rebalancing Rewards Between Head Work And Heart And Hands Work
177275,https://www.straitstimes.com/sport/motor-racing-verstappen-and-red-bull-fired-by-twin-ambitions-in-texas,2022-10-21T17:26:06+08:00,Motor Racing Verstappen And Red Bull Fired By Twin Ambitions In Texas
177303,https://www.straitstimes.com/singapore/community/diversity-inclusion-are-valued-by-the-people-and-will-play-a-part-in-shaping-s-pore-s-future-dpm-wong,2022-10-21T17:33:53+08:00,Diversity Inclusion Are Valued By The People And Will Play A Part In Shaping S Pore S Future Dpm Wong
177337,https://www.straitstimes.com/life/entertainment/oscar-winner-kevin-spacey-cleared-in-new-york-sex-assault-civil-case,2022-10-21T19:05:17+08:00,Oscar Winner Kevin Spacey Cleared In New York Sex Assault Civil Case
177339,https://www.straitstimes.com/world/united-states/pfizer-expects-to-raise-covid-19-vaccine-price-to-157-185-per-dose,2022-10-21T21:22:59+08:00,Pfizer Expects To Raise Covid 19 Vaccine Price To 157 185 Per Dose
177317,https://www.straitstimes.com/world/europe/moscow-skips-un-review-of-rights-in-russia,2022-10-21T22:27:20+08:00,Moscow Skips Un Review Of Rights In Russia
177284,https://www.straitstimes.com/business/companies-markets/goto-in-talks-with-major-owners-over-14-billion-stake-sale,2022-10-21T22:35:26+08:00,Goto In Talks With Major Owners Over 14 Billion Stake Sale
